Transaction Amount,Fine Fee Type,Fine Fee Id,Primary Identifier,Transaction Date
3.0,Damaged item fine,11122233300006421,999991234,2022-02-17
3.0,Damaged item fine,11122233310006421,999993330,2022-02-22
1.0,Damaged item fine,11122233320006421,999991234,2022-02-22
1.5,Damaged item fine,11122233330006421,999991234,2022-02-22
3.25,Damaged item fine,11122233340006421,999991234,2022-02-22
2.0,Damaged item fine,11122233350006421,999991234,2022-02-22
2.5,Damaged item fine,11122233360006421,999991234,2022-02-22
3.0,Damaged item fine,11122233370006421,999993330,2022-02-23
2.0,Damaged item fine,11122233380006421,999993330,2022-02-23
2.0,Damaged item fine,11122233390006421,999993330,2022-02-23
6.0,Damaged item fine,11122233400006421,999993330,2022-02-23
20.0,Damaged item fine,11122233410006421,999993330,2022-02-23
50.0,Lost item process fee,11122233420006421,999993330,2022-02-22
50.0,Lost item process fee,11122233430006421,940000258,2022-02-16
50.0,Lost item process fee,11122233440006421,999993330,2022-05-05
50.0,Lost item replacement fee,11122233450006421,940000258,2022-02-16
100.0,Lost item replacement fee,11122233460006421,999991234,2022-02-17
100.0,Lost item replacement fee,11122233470006421,999991234,2022-02-21
100.0,Lost item replacement fee,11122233480006421,999991234,2022-02-22
