MMS Id,Begin Publication Date,ISBN Valid,Library Code,Location Code
99125563674506421,202u,9789775414656; 9775414652,recap,pa
99129034948806421,9999,9783791379685; 3791379682,marquand,pz
99129906659606421,2025,1538179725; 9781538179727; 1538179733; 9781538179734,firestone,stacks
99336923506421,1962,9783110012835; 3110012839; 9783110012910; 311001291X; 9783110074758; 3110074753; 9783110152807; 3110152800; 9783110170757; 3110170752; 9783110251838; 3110251833; 9783110305371; 3110305372; 3110682966; 9783110682960,firestone,stacks
99352103506421,1980,9780197259863; 0197259863; 9780197261989; 0197261981; 9780197261996; 019726199X; 9780197262818; 0197262813; 9780197262931; 0197262937; 9780197263013; 0197263011; 9780197263075; 0197263070; 9780197263167; 019726316X; 9780197263358; 0197263356; 0197264174; ,firestone,stacks
99113269503506421,2019,1498567592; 9781498567596; 1498567576; 9781498567572,firestone,stacks
99113269733506421,2019,150173279X; 9781501732799,firestone,stacks
99113269863506421,2019,1108716849; 9781108716840; 9781108492492; 1108492495,firestone,stacks
99113270413506421,2019,0816538999; 9780816538997; 0816541094; 9780816541096,firestone,stacks
99113270563506421,2019,019088083X; 9780190880835,firestone,stacks
99113270843506421,2019,1682260917; 9781682260913,firestone,stacks
99113270853506421,2019,1442214430; 9781442214439,recap,pa
99113270853506421,2019,1442214430; 9781442214439,firestone,stacks
99113270853506421,2019,1442214430; 9781442214439,arch,ref
99113271213506421,2019,077483692X; 9780774836920; 0774836938; 9780774836937,firestone,stacks
99113271263506421,2018,1469648431; 9781469648439; 146964844X; 9781469648446,firestone,stacks
99113271293506421,2019,1498582575; 9781498582575,firestone,stacks
99113271503506421,2019,1618117971; 9781618117977; 1618117963; 9781618117960,firestone,stacks
99113271543506421,2019,1788730267; 9781788730266,firestone,stacks
99113272163506421,2019,0374191336; 9780374191337,firestone,stacks
99113285673506421,2019,0815378580; 9780815378587,firestone,stacks
99113287723506421,2020,9783901935596; 3901935592,marquand,pj
99113287863506421,2019,3735605249; 9783735605245,marquand,pj
99113287913506421,2019,9462263264; 9789462263260,marquand,pj
99113288673506421,2019,9783030111106; 3030111105,marquand,pj
99113288823506421,2019,9782503580579; 2503580572,marquand,stacks
99113336113506421,1984,9780937966150; 0937966150,rare,xr
99113338603506421,2019,8865402105; 9788865402108,recap,pa
99113343483506421,2019,3471351809; 9783471351802,firestone,stacks
99113347063506421,2019,1119412064; 9781119412069; 1119412056; 9781119412052,firestone,stacks
99113351873506421,2018,9807364256; 9789807364256,recap,pa
99113356933506421,1992,9780884481256; 0884481255; 9780884481263; 0884481263,rare,xr
99113399523506421,1982,9780937966112; 0937966118,rare,xr
99113399883506421,2012,9642523299; 9789642523290,recap,pa
99113407583506421,2019,0253040701; 9780253040701; 025304071X; 9780253040718,firestone,stacks
99113407813506421,2019,1789252016; 9781789252019,firestone,stacks
99113408113506421,2019,1479864927; 9781479864928,firestone,stacks
99113408143506421,2019,9781138090002; 113809000X,firestone,stacks
99113408493506421,2019,1517905818; 9781517905811; 1517905826; 9781517905828,firestone,stacks
99113408623506421,2019,1789201764; 9781789201765,firestone,stacks
99113408883506421,2019,022662191X; 9780226621913; 9780226622071; 022662207X,firestone,stacks
99113408923506421,2019,1108480101; 9781108480109; 1108703216; 9781108703215,firestone,stacks
99113408973506421,2019,9780198816188; 0198816189; 0198816197; 9780198816195,firestone,stacks
99113409273506421,2019,1479874566; 9781479874569; 1479813788; 9781479813780,firestone,stacks
99113409453506421,2019,0367144352; 9780367144357; 0367144360; 9780367144364,firestone,stacks
99113409873506421,2019,0198833660; 9780198833666,firestone,stacks
99113409883506421,2019,0813942470; 9780813942476; 9780813942483; 0813942489,firestone,stacks
99113409993506421,2019,9781487502676; 1487502672,firestone,stacks
99113410343506421,2019,1788731603; 9781788731607; 1788733002; 9781788733007,firestone,stacks
99113410483506421,2019,0815731558; 9780815731559; 0815731566; 9780815731566,firestone,stacks
99113410523506421,2019,1442276975; 9781442276970,firestone,stacks
99113410533506421,2019,0812251245; 9780812251241; 1512824747; 9781512824742,firestone,stacks
99113410693506421,2019,0253039525; 9780253039521,firestone,stacks
99113410803506421,2019,1611863139; 9781611863130,firestone,stacks
99113410903506421,2019,1789140811; 9781789140811,firestone,stacks
